text,intent,responses
Information Technology,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
AI/Ml,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
Mechanical engineering,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
Chemical engineering,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
Civil engineering,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
information about fee,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
information on fee,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
tell me the fee,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
college fee,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fee per semester,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
what is the fee of each semester,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
what is the fees of each year,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
what is fee,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
what is the fees,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
how much is the fees,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees for first year,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
about the fees,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
tell me something about the fees,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
What is the fees of hostel,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
how much is the fees,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
hostel fees,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees for AC room,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees for non-AC room,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees for Ac room for girls,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees for non-Ac room for girls,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees for Ac room for boys,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
fees for non-Ac room for boys,fees,"['For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>']"
where is the college located,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
college is located at,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
where is college,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
where is college located,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
address of college,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
how to reach college,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
college location,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
college address,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
wheres the college,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
how can I reach college,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
whats is the college address,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
what is the address of college,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
address,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
location,location,"['<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>']"
hostel facility,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel servive,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel location,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel address,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel facilities,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel fees,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
Does college provide hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
Is there any hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
Where is hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
do you have hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
do you guys have hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel capacity,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
what is the hostel fee,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
how to get in hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
what is the hostel address,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
how far is hostel from college,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
hostel college distance,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
where is the hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
how big is the hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
distance between college and hostel,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
distance between hostel and college,hostel,"['For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>']"
events organised,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
list of events,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
list of events organised in college,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
list of events conducted in college,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
What events are conducted in college,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
Are there any event held at college,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
Events?,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
functions,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
what are the events,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
tell me about events,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
what about events,event,"['For event detail visit <a target=""_blank"" href=""ADD YOUR FUNCTIONS LINK OR YOUR OWN RESPONSE""> here</a>']"
document to bring,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents needed for admision,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents needed at the time of admission,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents needed during admission,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents required for admision,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents required at the time of admission,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents required during admission,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
What document are required for admission,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
Which document to bring for admission,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
what documents do i need,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
what documents do I need for admission,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
documents needed,document,"['To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>']"
size of campus,floors,['My College has total 2 floors ']
building size,floors,['My College has total 2 floors ']
How many floors does college have,floors,['My College has total 2 floors ']
floors in college,floors,['My College has total 2 floors ']
floors in college,floors,['My College has total 2 floors ']
how tall is UNI's College of Engineering college building,floors,['My College has total 2 floors ']
floors,floors,['My College has total 2 floors ']
Syllabus for IT,syllabus,"['Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>']"
what is the Information Technology syllabus,syllabus,"['Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>']"
syllabus,syllabus,"['Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>']"
timetable,syllabus,"['Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>']"
what is IT syllabus,syllabus,"['Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>']"
syllabus,syllabus,"['Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>']"
What is next lecture,syllabus,"['Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>']"
is there any library,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
library facility,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
library facilities,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
do you have library,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
does the college have library facility,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
college library,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
where can i get books,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
book facility,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
Where is library,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
Library,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
Library information,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
Library books information,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
Tell me about library,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
how many libraries,library,"['There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>']"
how is college infrastructure,infrastructure,['Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection']
infrastructure,infrastructure,['Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection']
college infrastructure,infrastructure,['Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection']
food facilities,canteen,['Our university has canteen with variety of food available']
canteen facilities,canteen,['Our university has canteen with variety of food available']
canteen facility,canteen,['Our university has canteen with variety of food available']
is there any canteen,canteen,['Our university has canteen with variety of food available']
Is there a cafetaria in college,canteen,['Our university has canteen with variety of food available']
Does college have canteen,canteen,['Our university has canteen with variety of food available']
Where is canteen,canteen,['Our university has canteen with variety of food available']
where is cafetaria,canteen,['Our university has canteen with variety of food available']
canteen,canteen,['Our university has canteen with variety of food available']
Food,canteen,['Our university has canteen with variety of food available']
Cafetaria,canteen,['Our university has canteen with variety of food available']
food menu,menu,"['we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu']"
food in canteen,menu,"['we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu']"
Whats there on menu,menu,"['we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu']"
what is available in college canteen,menu,"['we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu']"
what foods can we get in college canteen,menu,"['we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu']"
food variety,menu,"['we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu']"
What is there to eat?,menu,"['we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu']"
What is college placement,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
Which companies visit in college,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
What is average package,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
companies visit,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
package,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
About placement,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
placement,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
recruitment,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
companies,placement,"['To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>']"
Who is HOD,ithod,['All engineering departments have only one hod XYZ who available on (Place name)']
Where is HOD,ithod,['All engineering departments have only one hod XYZ who available on (Place name)']
it hod,ithod,['All engineering departments have only one hod XYZ who available on (Place name)']
name of it hod,ithod,['All engineering departments have only one hod XYZ who available on (Place name)']
Who is computer HOD,computerhod,['All engineering departments have only one hod XYZ who available on (PLACE NAME)']
Where is computer HOD,computerhod,['All engineering departments have only one hod XYZ who available on (PLACE NAME)']
computer hod,computerhod,['All engineering departments have only one hod XYZ who available on (PLACE NAME)']
